M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.17741933;0.14516129;0.14516129;0.38709682;0.14516129,0.43362835;0.107964605;0.11327431;0.17522123;0.1699115,0.10112361;0.123595506;0.23595507;0.3932584;0.1460674,0.11904758;0.14285709;0.28571433;0.3571429;0.095238104,0.1724138;0.10344831;0.22413789;0.3793103;0.120689705,0.0105769231
0.1395349;0.023255808;0.09302326;0.23255812;0.5116279,0.43362832;0.10796461;0.11327431;0.17522125;0.16991152,0.13461542;0.038461544;0.1153846;0.32692307;0.3846154,0.22222222;0.11111111;0.11111111;0.3333333;0.22222222,0.08928572;0.05357143;0.07142857;0.1607143;0.625,0.0038461538
0.1774193;0.1451613;0.1451613;0.3870968;0.1451613,0.43362832;0.107964605;0.113274306;0.17522123;0.1699115,0.1011236;0.12359551;0.2359551;0.39325836;0.14606741,0.11904758;0.1428571;0.28571433;0.35714287;0.09523809,0.17241381;0.10344832;0.22413789;0.3793103;0.12068969,0.0019230769
0.45454544;0.12121211;0.2575758;0.106060594;0.060606055,0.37018007;0.14395893;0.13110544;0.14910004;0.20565554,0.45882356;0.08235295;0.2470588;0.14117649;0.07058823,0.5;0.125;0.29166666;0.04166667;0.04166667,0.46808508;0.08510639;0.21276599;0.17021279;0.06382977,0
0.8543689;0.055825245;0.0461165;0.03640776;0.0072815525,0.37018004;0.14395894;0.13110542;0.14910002;0.20565554,0.86806595;0.055472255;0.041979015;0.025487259;0.008995502,0.6176471;0.0882353;0.14705877;0.0882353;0.058823526,0.8951049;0.032634027;0.044289045;0.020979019;0.006993007,0.0028846154
0.23636362;0.1454545;0.18181822;0.30909094;0.12727271,0.37018004;0.14395894;0.13110542;0.14910002;0.20565554,0.23611112;0.2083333;0.1388889;0.2638889;0.15277779,0.1875;0.1875;0.06250001;0.375;0.1875,0.23529409;0.32352942;0.14705883;0.14705883;0.14705883,0.0009615385
0.40350878;0.22807018;0.21052626;0.105263196;0.052631576,0.37018004;0.14395896;0.13110544;0.14910004;0.20565554,0.4125;0.22499998;0.2;0.13750002;0.025,0.31818178;0.2727273;0.18181819;0.1363636;0.090909086,0.34146342;0.17073171;0.2439024;0.19512196;0.048780493,0.0009615385
0.40350878;0.22807017;0.21052627;0.105263196;0.05263157,0.37018007;0.14395894;0.13110542;0.14910002;0.20565554,0.4125;0.225;0.20000002;0.1375;0.025000002,0.3181818;0.2727273;0.18181819;0.13636358;0.090909086,0.3414634;0.1707317;0.24390243;0.19512196;0.048780505,0.0009615385
0.40350875;0.22807021;0.21052629;0.105263196;0.052631576,0.37018007;0.14395893;0.13110542;0.14910004;0.20565554,0.41250002;0.225;0.2;0.13749999;0.025,0.31818178;0.2727273;0.1818182;0.13636358;0.090909086,0.34146342;0.17073171;0.24390243;0.19512196;0.04878051,0.0038461538
0.23636362;0.1454545;0.1818182;0.30909097;0.1272727,0.37018007;0.14395893;0.13110542;0.14910002;0.20565559,0.23611113;0.2083333;0.13888888;0.26388893;0.15277778,0.14285712;0.42857152;0.14285712;0.14285712;0.14285712,0.23529415;0.32352942;0.14705881;0.14705881;0.14705881,0.0009615385
