M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.40350878;0.22807018;0.21052627;0.1052632;0.052631576,0.37018004;0.14395894;0.13110542;0.14910004;0.20565556,0.4125;0.225;0.2;0.1375;0.025,0.31818178;0.2727273;0.1818182;0.13636361;0.09090908,0.34146345;0.17073172;0.24390242;0.19512193;0.0487805,0
0.8543689;0.05582524;0.046116497;0.03640777;0.007281553,0.37018007;0.14395893;0.13110542;0.14910004;0.20565557,0.86806595;0.055472262;0.04197902;0.02548726;0.008995502,0.48717946;0.1794872;0.1794872;0.10256409;0.051282045,0.8951049;0.032634035;0.044289052;0.020979024;0.006993007,0
0.8715847;0.038251366;0.03551913;0.040983602;0.013661198,0.43362835;0.1079646;0.1132743;0.17522122;0.1699115,0.91260505;0.028571432;0.025210084;0.028571432;0.005042017,0.60294116;0.16176468;0.11764709;0.07352941;0.04411764,0.88222224;0.04;0.04444445;0.028888892;0.0044444446,0.0009615385
0.4186046;0.3023256;0.09302326;0.16279072;0.02325581,0.43362832;0.10796461;0.11327431;0.17522125;0.1699115,0.2763158;0.39473692;0.1710526;0.14473677;0.013157889,0.23076922;0.43589744;0.17948721;0.1282051;0.025641028,0.3137255;0.35294116;0.19607842;0.11764709;0.01960784,0.0009615385
0.41860464;0.30232558;0.09302327;0.1627907;0.02325581,0.43362832;0.10796461;0.113274306;0.17522125;0.1699115,0.2763158;0.39473692;0.17105259;0.1447368;0.013157891,0.23076922;0.4358974;0.1794872;0.12820512;0.025641033,0.3137255;0.3529412;0.19607839;0.1176471;0.01960784,0
0.8715847;0.03825137;0.035519127;0.040983606;0.013661199,0.43362832;0.10796461;0.11327431;0.17522123;0.1699115,0.91260505;0.02857143;0.025210079;0.02857143;0.005042017,0.4;0.2;0.2;0.1;0.1,0.8822222;0.040000003;0.044444457;0.028888894;0.0044444455,0.0019230769
0.4054054;0.1081081;0.2162162;0.18918918;0.08108108,0.43362835;0.10796461;0.11327431;0.17522123;0.1699115,0.30769226;0.18461542;0.23076923;0.16923079;0.1076923,0.1875;0.1875;0.25;0.31250003;0.0625,0.38775507;0.20408161;0.122448996;0.16326533;0.122448996,0.0009615385
0.3970588;0.29411772;0.1470588;0.1470588;0.014705879,0.44295296;0.11744971;0.114094;0.14765099;0.17785233,0.42;0.26;0.15;0.14;0.030000005,0.50000006;0.2142857;0.071428575;0.14285709;0.071428575,0.29166666;0.3125;0.125;0.22916667;0.04166667,0.0009615385
0.39705878;0.2941177;0.14705881;0.14705881;0.014705882,0.44295296;0.11744969;0.114094;0.14765102;0.17785232,0.42000002;0.25999996;0.15;0.14;0.03,0.35849056;0.3018868;0.1320755;0.16981131;0.03773585,0.2916667;0.31249997;0.124999985;0.22916669;0.041666675,0.0019230769
0.39393935;0.075757556;0.22727264;0.15151522;0.15151522,0.44295296;0.11744969;0.114094004;0.147651;0.17785232,0.31914887;0.10638299;0.23404257;0.22340429;0.117021285,0.21153845;0.15384617;0.21153845;0.26923078;0.15384617,0.38333336;0.1333333;0.20000002;0.1333333;0.15000002,0
0.8646209;0.059566792;0.043321304;0.025270762;0.007220218,0.442953;0.1174497;0.114094;0.14765102;0.17785232,0.8330404;0.08260106;0.047451675;0.024604568;0.01230229,0.74594593;0.12432432;0.043243244;0.06486487;0.021621622,0.83641976;0.055555556;0.07098765;0.027777778;0.009259259,0
0.8646209;0.059566792;0.0433213;0.02527076;0.0072202175,0.442953;0.1174497;0.114094004;0.14765102;0.17785232,0.8330404;0.08260106;0.047451675;0.024604568;0.012302291,0.74594593;0.124324314;0.043243244;0.06486487;0.021621622,0.83641976;0.055555556;0.07098765;0.027777778;0.00925926,0.0009615385
0.39705878;0.2941177;0.14705883;0.14705883;0.0147058815,0.44295296;0.11744969;0.114094;0.14765102;0.17785232,0.42000005;0.25999996;0.14999999;0.14000002;0.029999997,0.35849056;0.3018868;0.1320755;0.16981132;0.03773585,0.2916667;0.31249994;0.12499999;0.22916669;0.041666675,0.0038461538
0.21311477;0.098360635;0.21311477;0.26229507;0.21311477,0.442953;0.11744969;0.114094004;0.14765102;0.17785232,0.1530612;0.13265309;0.21428572;0.31632653;0.18367349,0.1643836;0.09589042;0.1780822;0.38356158;0.1780822,0.23999998;0.08;0.23999998;0.3;0.14000003,0.0067307692
0.08045977;0.045977008;0.068965524;0.1609195;0.6436782,0.44295296;0.11744969;0.114094;0.147651;0.17785232,0.0909091;0.03896104;0.1558442;0.24675317;0.4675325,0.12962963;0.03703704;0.1481481;0.25925928;0.42592594,0.078125;0.046875;0.078125;0.14062501;0.65625,0.0038461538
0.1;0.1;0.2;0.2;0.4,0.37018007;0.14395893;0.13110542;0.14910004;0.20565554,0.23611113;0.20833327;0.13888888;0.26388893;0.15277779,0.1875;0.1875;0.06250001;0.375;0.1875,0.2352941;0.32352942;0.14705883;0.14705883;0.14705883,0.0028846154
0.1;0.1;0.2;0.2;0.4,0.3701801;0.14395893;0.13110542;0.14910002;0.20565554,0.23611112;0.20833327;0.13888888;0.26388893;0.15277779,0.1875;0.1875;0.0625;0.375;0.1875,0.2352941;0.32352942;0.14705883;0.14705883;0.14705883,0.0105769231
0.22222221;0.111111104;0.111111104;0.22222221;0.33333337,0.3701801;0.14395893;0.13110542;0.14910004;0.20565553,0.14814812;0.037037037;0.1111111;0.16666669;0.5370371,0.1428571;0.1428571;0.07142857;0.2857143;0.3571429,0.1818182;0.030303031;0.030303031;0.090909086;0.6666667,0.0105769231
0.21311478;0.09836062;0.21311478;0.26229504;0.21311478,0.44295296;0.1174497;0.11409399;0.14765102;0.17785233,0.1530612;0.1326531;0.21428572;0.3163265;0.18367349,0.32142857;0.071428575;0.25000003;0.1428571;0.21428572,0.16438358;0.13698629;0.16438358;0.31506848;0.21917808,0
0.8646209;0.059566792;0.0433213;0.02527076;0.007220216,0.44295296;0.11744969;0.11409399;0.14765102;0.17785233,0.8330404;0.08260106;0.047451675;0.02460457;0.012302292,0.77477473;0.094594605;0.081081085;0.02252252;0.02702703,0.8232446;0.082324445;0.043583535;0.031477008;0.019370457,0.001601281
0.39393935;0.07575757;0.22727267;0.1515152;0.1515152,0.44295296;0.11744971;0.114094;0.147651;0.17785233,0.3191489;0.10638298;0.23404256;0.22340427;0.11702128,0.39215684;0.07843138;0.2941177;0.09803921;0.13725488,0.30645162;0.08064517;0.2580645;0.2419355;0.1129032,0
0.8646209;0.059566796;0.043321304;0.025270764;0.0072202166,0.44295296;0.1174497;0.114094004;0.147651;0.17785232,0.8330404;0.08260104;0.047451667;0.024604568;0.012302289,0.7747748;0.094594605;0.08108108;0.02252252;0.02702703,0.8232446;0.08232444;0.043583523;0.031477;0.019370457,0
0.87219346;0.07426597;0.025906736;0.018998269;0.008635578,0.38955823;0.14457828;0.13654618;0.14056231;0.188755,0.840052;0.088426545;0.033810146;0.023407023;0.01430429,0.8313253;0.08734939;0.04216867;0.02710843;0.0120481895,0.82824427;0.078244284;0.041984737;0.03435114;0.01717557,0.003202562
0.1384615;0.1230769;0.18461537;0.4;0.1538462,0.38955823;0.1445783;0.1365462;0.14056231;0.18875498,0.17307693;0.10576921;0.17307693;0.37500003;0.17307693,0.34482756;0.1034483;0.137931;0.137931;0.2758621,0.20430109;0.08602151;0.1182796;0.4086021;0.1827957,0.001601281
0.2121212;0.24242419;0.3333333;0.16666675;0.045454558,0.3895582;0.14457828;0.1365462;0.14056231;0.188755,0.15454547;0.29090908;0.32727268;0.17272729;0.054545455,0.33333337;0.111111104;0.22222221;0.111111104;0.22222221,0.23376621;0.19480522;0.3116883;0.18181819;0.0779221,0.0024019215
0.21212119;0.2424242;0.3333333;0.16666675;0.045454558,0.3895582;0.1445783;0.1365462;0.14056231;0.18875502,0.15454549;0.29090908;0.32727268;0.1727273;0.05454545,0.25;0.27499998;0.27499998;0.15000002;0.05,0.23376621;0.1948052;0.3116883;0.18181819;0.07792208,0
0.81621623;0.08108107;0.048648648;0.02702703;0.02702703,0.442953;0.1174497;0.114094;0.147651;0.17785232,0.8330404;0.082601056;0.047451675;0.02460457;0.012302289,0.7747748;0.094594605;0.08108108;0.022522522;0.02702703,0.8232446;0.08232445;0.043583535;0.031477;0.019370459,0.0064051241
0.09375001;0.0625;0.09375001;0.25;0.5,0.442953;0.117449686;0.114094004;0.147651;0.17785232,0.090909086;0.038961045;0.1558442;0.24675319;0.4675325,0.03921569;0.058823526;0.058823526;0.09803921;0.74509805,0.086956516;0.02898551;0.13043478;0.23188409;0.5217391,0.0080064051
0.09375;0.0625;0.09375;0.25;0.5,0.44295296;0.11744969;0.114094004;0.14765102;0.17785232,0.090909086;0.03896104;0.1558442;0.2467532;0.4675325,0.039215688;0.058823526;0.058823526;0.09803921;0.74509805,0.08695651;0.02898551;0.13043478;0.2318841;0.5217391,0.0008006405
0.54838705;0.19354838;0.09677419;0.12903228;0.032258056,0.44295296;0.11744969;0.11409401;0.147651;0.17785232,0.42;0.26;0.15;0.14000002;0.03,0.39534882;0.255814;0.20930229;0.116279095;0.023255808,0.48484847;0.2272727;0.1666667;0.09090909;0.030303024,0.001601281
0.24000001;0.120000005;0.24000001;0.24000001;0.15999997,0.442953;0.11744969;0.114094004;0.14765099;0.1778523,0.31914884;0.10638299;0.2340426;0.22340429;0.1170213,0.39215687;0.07843137;0.29411766;0.09803922;0.1372549,0.3064516;0.08064517;0.25806454;0.2419355;0.11290321,0.0112089672
0.11538461;0.07692308;0.03846154;0.15384619;0.6153846,0.43362832;0.10796462;0.11327431;0.17522122;0.16991152,0.13461539;0.03846154;0.11538461;0.3269231;0.38461536,0.07692308;0.05769232;0.09615385;0.15384622;0.6153845,0.10526318;0.026315784;0.13157898;0.2894737;0.44736835,0.0160128102
0.11538461;0.07692309;0.038461544;0.1538462;0.6153846,0.43362835;0.10796461;0.11327431;0.17522123;0.1699115,0.1346154;0.038461536;0.1153846;0.3269231;0.38461536,0.16666669;0.055555556;0.055555556;0.22222222;0.49999997,0.10526317;0.026315784;0.131579;0.28947374;0.4473683,0.0168134508
0.1153846;0.07692307;0.038461536;0.15384619;0.6153846,0.43362835;0.10796461;0.11327431;0.17522123;0.16991149,0.1346154;0.03846154;0.1153846;0.32692313;0.38461533,0.07692309;0.057692315;0.09615385;0.15384623;0.6153845,0.10526318;0.026315782;0.13157898;0.28947368;0.44736838,0.0096076861
0.115384616;0.07692308;0.03846154;0.1538462;0.6153846,0.4336283;0.10796462;0.11327433;0.17522123;0.16991152,0.1346154;0.03846154;0.115384616;0.32692307;0.38461536,0.16666669;0.055555545;0.055555545;0.22222218;0.50000006,0.105263196;0.026315786;0.13157898;0.2894737;0.44736832,0.0048038431
0.23636362;0.1454545;0.1818182;0.30909094;0.12727271,0.37018007;0.14395894;0.13110544;0.14910004;0.20565554,0.2361111;0.20833333;0.13888891;0.26388887;0.15277779,0.17073168;0.1951219;0.1463415;0.2682927;0.21951222,0.25;0.07692308;0.17307688;0.32692313;0.17307688,0.0112089672
0.13888888;0.055555556;0.055555556;0.25;0.5,0.37018007;0.14395893;0.13110542;0.14910002;0.20565556,0.14814809;0.03703704;0.1111111;0.16666669;0.5370371,0.055555563;0.03703704;0.055555563;0.18518518;0.6666666,0.08333335;0.041666675;0.125;0.18750001;0.56249994,0.0160128102
0.13888887;0.055555552;0.055555552;0.25;0.5,0.37018004;0.14395894;0.13110544;0.14910002;0.20565554,0.14814809;0.03703705;0.111111104;0.1666667;0.5370371,0.05555556;0.03703704;0.05555556;0.1851852;0.6666666,0.08333334;0.04166667;0.125;0.18750001;0.56249994,0.0064051241
0.13888888;0.055555556;0.055555556;0.25;0.5,0.37018007;0.14395893;0.13110544;0.14910002;0.20565554,0.14814809;0.037037045;0.1111111;0.16666669;0.5370371,0.055555556;0.03703704;0.055555556;0.1851852;0.6666667,0.08333334;0.04166667;0.12499999;0.18750001;0.5625,0.0024019215
0.45454547;0.121212095;0.25757578;0.10606061;0.060606055,0.37018004;0.14395894;0.13110545;0.14910002;0.20565554,0.4588235;0.082352936;0.24705882;0.1411765;0.07058824,0.4047619;0.047619052;0.3095238;0.19047621;0.047619052,0.5072464;0.07246379;0.27536225;0.08695653;0.057971027,0.0176140913
0.13888888;0.055555552;0.055555552;0.25;0.5,0.37018004;0.14395894;0.13110544;0.14910004;0.20565554,0.14814809;0.03703705;0.111111104;0.16666669;0.5370371,0.05555556;0.03703704;0.05555556;0.1851852;0.6666666,0.083333336;0.041666668;0.12499999;0.18750001;0.5625,0.0048038431
0.23636362;0.14545451;0.1818182;0.30909097;0.12727271,0.37018004;0.14395894;0.13110544;0.14910004;0.20565554,0.2361111;0.2083333;0.13888888;0.2638889;0.15277779,0.17073168;0.1951219;0.14634147;0.2682927;0.21951224,0.25000003;0.07692307;0.1730769;0.3269231;0.1730769,0.0072057646
0.13888888;0.055555556;0.055555556;0.25;0.5,0.3701801;0.14395893;0.13110542;0.14910004;0.20565553,0.1481481;0.037037045;0.111111104;0.1666667;0.537037,0.055555556;0.037037045;0.055555556;0.1851852;0.6666666,0.08333334;0.04166667;0.125;0.1875;0.5625,0.0064051241
0.13888888;0.055555556;0.055555556;0.25;0.5,0.3701801;0.14395893;0.13110544;0.14910002;0.20565554,0.14814812;0.03703704;0.111111104;0.16666669;0.5370371,0.055555556;0.037037037;0.055555556;0.1851852;0.6666667,0.08333334;0.04166667;0.12499999;0.18750001;0.5625,0.0080064051
0.15000002;0.05;0.1166667;0.18333331;0.49999997,0.43362835;0.10796461;0.113274306;0.17522123;0.1699115,0.1346154;0.038461544;0.1153846;0.32692304;0.3846154,0.1666667;0.055555556;0.055555556;0.22222222;0.49999997,0.1052632;0.026315788;0.13157898;0.28947365;0.44736838,0.0120096077
0.15000002;0.05000001;0.1166667;0.1833333;0.5,0.43362832;0.107964605;0.11327431;0.17522122;0.16991152,0.1346154;0.038461532;0.11538461;0.32692307;0.3846154,0.07692308;0.057692304;0.09615384;0.15384617;0.6153846,0.105263196;0.02631579;0.13157898;0.28947365;0.44736838,0.0064051241
0.15000002;0.05000001;0.11666669;0.18333331;0.49999997,0.43362835;0.107964605;0.11327431;0.17522122;0.16991152,0.1346154;0.038461536;0.1153846;0.3269231;0.38461536,0.07692308;0.057692304;0.09615383;0.15384617;0.6153846,0.1052632;0.02631579;0.13157897;0.28947365;0.4473684,0.0096076861
0.15;0.050000004;0.11666669;0.1833333;0.5,0.43362832;0.107964605;0.11327432;0.17522123;0.1699115,0.1346154;0.038461536;0.1153846;0.3269231;0.38461536,0.07692308;0.057692304;0.09615384;0.15384617;0.6153846,0.1052632;0.02631579;0.13157898;0.28947365;0.44736835,0.0056044836
0.15;0.05000001;0.11666668;0.1833333;0.5,0.43362835;0.107964605;0.113274306;0.17522123;0.16991149,0.1346154;0.038461536;0.1153846;0.32692307;0.3846154,0.07692307;0.05769231;0.09615385;0.15384616;0.6153846,0.1052632;0.02631579;0.13157898;0.28947368;0.44736835,0.001601281
0.39999998;0.1333333;0.16666672;0.15;0.15,0.43362832;0.10796461;0.11327432;0.17522125;0.1699115,0.3076923;0.1846154;0.2307692;0.1692308;0.1076923,0.44827592;0.1724138;0.13793099;0.0689655;0.1724138,0.33333325;0.11111109;0.26666674;0.17777783;0.11111109,0.0064051241
0.15;0.050000004;0.11666669;0.18333328;0.5,0.43362832;0.107964605;0.11327431;0.17522123;0.16991152,0.1346154;0.03846154;0.11538459;0.32692307;0.38461536,0.125;0.125;0.125;0.25;0.37500003,0.10526321;0.026315793;0.13157898;0.28947365;0.44736835,0.0048038431
0.10294118;0.11764709;0.27941176;0.3382353;0.16176467,0.43362832;0.1079646;0.113274306;0.17522125;0.16991152,0.10112361;0.1235955;0.2359551;0.3932584;0.1460674,0.18421051;0.131579;0.131579;0.36842102;0.18421051,0.11320749;0.15094338;0.2075472;0.3962264;0.13207552,0.003202562
0.1029412;0.117647074;0.2794118;0.33823526;0.16176468,0.43362832;0.107964605;0.1132743;0.17522126;0.1699115,0.1011236;0.123595506;0.2359551;0.39325842;0.14606738,0.18421051;0.13157898;0.13157898;0.36842102;0.18421051,0.11320749;0.15094337;0.20754719;0.39622644;0.1320755,0.0072057646
0.15000004;0.05;0.11666669;0.1833333;0.49999997,0.43362835;0.107964605;0.11327432;0.17522122;0.16991152,0.13461542;0.038461544;0.11538459;0.32692307;0.38461536,0.16666672;0.055555552;0.055555552;0.2222222;0.49999997,0.1052632;0.026315788;0.13157897;0.28947374;0.4473683,0.0072057646
0.15000002;0.05;0.11666669;0.18333331;0.49999997,0.43362832;0.10796461;0.113274306;0.17522122;0.16991152,0.13461542;0.03846154;0.115384586;0.3269231;0.38461536,0.07692308;0.05769232;0.09615384;0.15384622;0.6153845,0.105263196;0.026315788;0.13157897;0.28947374;0.4473683,0.0088070456
0.15000002;0.05;0.1166667;0.18333331;0.49999997,0.43362832;0.107964605;0.113274306;0.17522122;0.16991152,0.13461544;0.03846154;0.115384586;0.3269231;0.38461533,0.07692308;0.05769231;0.09615384;0.15384622;0.6153846,0.105263196;0.026315786;0.13157897;0.28947374;0.44736832,0.0040032026
0.102941185;0.11764709;0.2794118;0.33823523;0.16176471,0.43362832;0.10796462;0.11327432;0.17522122;0.16991152,0.1011236;0.12359549;0.23595509;0.39325842;0.14606738,0.18421051;0.13157898;0.13157898;0.36842102;0.18421051,0.1132075;0.1509434;0.20754722;0.39622638;0.13207552,0.0048038431
0.09302328;0.1627907;0.18604651;0.37209302;0.18604651,0.44295296;0.11744969;0.114094004;0.14765102;0.17785232,0.15306121;0.1326531;0.21428573;0.31632647;0.18367349,0.32142863;0.07142856;0.25;0.14285709;0.21428572,0.16438359;0.13698629;0.16438359;0.31506845;0.2191781,0.0120096077
0.09090909;0.04545455;0.2272727;0.2272727;0.40909097,0.442953;0.1174497;0.11409401;0.14765102;0.1778523,0.09090907;0.038961038;0.15584418;0.24675319;0.46753252,0.03921569;0.058823522;0.058823522;0.0980392;0.74509805,0.08695649;0.028985506;0.1304348;0.23188409;0.5217391,0.003202562
0.093023285;0.1627907;0.18604651;0.37209302;0.18604651,0.442953;0.11744969;0.114094;0.147651;0.17785232,0.15306121;0.13265309;0.21428572;0.31632647;0.18367349,0.32142863;0.07142856;0.25;0.1428571;0.2142857,0.16438359;0.1369863;0.16438359;0.31506845;0.21917808,0.0096076861
0.09090909;0.045454554;0.2272727;0.2272727;0.40909097,0.44295296;0.11744969;0.114094004;0.14765102;0.1778523,0.09090908;0.038961038;0.15584418;0.24675319;0.46753252,0.03921569;0.058823526;0.058823526;0.0980392;0.74509805,0.0869565;0.028985506;0.13043478;0.2318841;0.52173907,0.0064051241
0.15000004;0.050000004;0.11666669;0.18333331;0.49999997,0.43362835;0.10796461;0.11327431;0.1752212;0.16991153,0.13461542;0.03846154;0.11538459;0.3269231;0.38461533,0.07692308;0.057692315;0.09615384;0.15384622;0.6153846,0.105263196;0.026315786;0.13157897;0.28947377;0.4473683,0.0048038431
0.102941185;0.11764708;0.2794118;0.33823526;0.16176471,0.43362832;0.10796461;0.113274306;0.17522123;0.16991153,0.1011236;0.12359548;0.23595509;0.39325842;0.1460674,0.18421051;0.13157898;0.13157898;0.36842102;0.18421051,0.113207504;0.1509434;0.2075472;0.39622635;0.13207553,0.0136108887
0.15000004;0.050000004;0.11666669;0.18333331;0.49999997,0.43362835;0.107964605;0.11327432;0.17522122;0.16991152,0.13461542;0.038461544;0.11538459;0.32692307;0.38461536,0.07692308;0.057692315;0.09615384;0.15384622;0.6153845,0.1052632;0.026315788;0.13157897;0.28947374;0.4473683,0.0056044836
0.15000004;0.05;0.11666669;0.1833333;0.49999997,0.43362832;0.107964605;0.113274306;0.17522122;0.16991153,0.13461542;0.03846154;0.115384586;0.3269231;0.38461533,0.07692308;0.05769231;0.09615384;0.15384622;0.6153846,0.105263196;0.026315788;0.13157895;0.28947374;0.44736832,0.0056044836
0.15000002;0.050000004;0.116666704;0.18333331;0.49999997,0.43362835;0.10796461;0.11327431;0.1752212;0.16991153,0.13461544;0.03846154;0.11538459;0.3269231;0.38461533,0.07692309;0.05769232;0.09615384;0.15384622;0.6153845,0.105263196;0.026315786;0.13157898;0.2894737;0.44736832,0.0048038431
0.17741929;0.1451613;0.1451613;0.3870968;0.1451613,0.43362832;0.10796461;0.113274306;0.17522122;0.16991152,0.10112361;0.12359549;0.2359551;0.39325842;0.1460674,0.18421051;0.131579;0.131579;0.36842102;0.18421051,0.1132075;0.1509434;0.20754722;0.39622638;0.13207553,0.0040032026
0.17741929;0.14516132;0.14516132;0.38709676;0.14516132,0.43362835;0.10796461;0.113274306;0.17522123;0.1699115,0.101123594;0.12359549;0.23595509;0.39325842;0.14606741,0.18421051;0.131579;0.131579;0.36842102;0.18421051,0.1132075;0.15094338;0.20754722;0.3962264;0.1320755,0.0031446541
0.17741929;0.1451613;0.1451613;0.3870968;0.1451613,0.43362835;0.10796462;0.113274306;0.17522123;0.16991149,0.101123594;0.12359549;0.2359551;0.3932584;0.14606741,0.18421051;0.131579;0.131579;0.36842102;0.18421051,0.1132075;0.15094338;0.20754722;0.3962264;0.13207552,0.001572327
0.4054054;0.10810811;0.21621622;0.18918918;0.081081085,0.43362835;0.10796461;0.11327431;0.17522123;0.16991149,0.30769226;0.1846154;0.23076923;0.16923079;0.10769231,0.4482759;0.1724138;0.137931;0.06896552;0.1724138,0.33333325;0.11111111;0.26666674;0.1777778;0.11111111,0.0023584906
0.40540543;0.1081081;0.2162162;0.18918918;0.081081085,0.43362835;0.10796461;0.113274306;0.17522122;0.1699115,0.30769226;0.1846154;0.23076923;0.16923079;0.10769231,0.4482759;0.1724138;0.137931;0.06896552;0.1724138,0.33333325;0.111111104;0.26666674;0.1777778;0.111111104,0
0.8646209;0.059566796;0.043321304;0.02527076;0.007220216,0.44295296;0.1174497;0.11409399;0.14765102;0.17785235,0.8330404;0.082601056;0.04745167;0.02460457;0.012302291,0.77477473;0.094594605;0.081081085;0.02252252;0.02702703,0.8232446;0.082324445;0.04358353;0.031477004;0.019370457,0.001572327
0.39393938;0.07575756;0.22727269;0.15151519;0.15151519,0.44295296;0.1174497;0.11409399;0.147651;0.17785233,0.3191489;0.10638298;0.23404257;0.22340426;0.117021285,0.39215687;0.078431375;0.29411766;0.09803922;0.13725488,0.30645162;0.08064517;0.2580645;0.2419355;0.1129032,0.001572327
0.39393938;0.07575758;0.22727267;0.1515152;0.1515152,0.442953;0.1174497;0.11409399;0.147651;0.17785233,0.3191489;0.10638299;0.23404256;0.22340427;0.11702128,0.39215687;0.078431375;0.29411766;0.09803922;0.13725488,0.30645162;0.080645174;0.2580645;0.2419355;0.1129032,0.0031446541
0.21311477;0.09836062;0.21311477;0.26229507;0.21311477,0.44295296;0.11744969;0.11409399;0.14765102;0.17785233,0.15306118;0.1326531;0.21428573;0.3163265;0.1836735,0.3214286;0.071428575;0.25;0.1428571;0.21428573,0.16438359;0.1369863;0.16438359;0.31506842;0.21917807,0.0023584906
0.23809522;0.19047622;0.23809522;0.2142857;0.11904761,0.3895582;0.1445783;0.13654621;0.14056231;0.188755,0.15454549;0.2909091;0.32727268;0.17272729;0.05454545,0.25;0.27499998;0.27499998;0.15000002;0.050000004,0.23376621;0.19480522;0.3116883;0.18181819;0.07792209,0.0023584906
0.23809524;0.19047621;0.23809524;0.2142857;0.11904762,0.38955823;0.1445783;0.1365462;0.14056231;0.188755,0.15454549;0.2909091;0.32727265;0.17272729;0.05454545,0.24999999;0.27499998;0.27499998;0.15000004;0.05000001,0.2337662;0.1948052;0.3116883;0.18181819;0.07792209,0.0031446541
0.16129033;0.09677418;0.22580642;0.16129033;0.35483873,0.3895582;0.1445783;0.1365462;0.14056231;0.188755,0.17307693;0.1057692;0.17307693;0.375;0.17307693,0.3448276;0.10344831;0.13793102;0.13793102;0.2758621,0.2043011;0.0860215;0.118279606;0.4086021;0.1827957,0.0055031447
0.04;0.04;0.08;0.18;0.65999997,0.3895582;0.1445783;0.1365462;0.14056231;0.188755,0.045454554;0.027272731;0.054545462;0.13636363;0.73636365,0.021739127;0.06521738;0.06521738;0.08695651;0.7608696,0.046728972;0.02803738;0.046728972;0.13084112;0.74766356,0.0023584906
0.21212122;0.24242419;0.3333333;0.16666673;0.04545455,0.38955823;0.14457828;0.1365462;0.1405623;0.188755,0.15454552;0.2909091;0.32727265;0.17272727;0.05454545,0.24999997;0.275;0.275;0.15000002;0.049999997,0.23376621;0.19480522;0.31168827;0.18181819;0.07792209,0.0047169811
0.13846147;0.12307691;0.18461539;0.40000004;0.15384617,0.3895582;0.1445783;0.1365462;0.1405623;0.188755,0.17307693;0.10576921;0.17307693;0.37500003;0.17307693,0.34482762;0.1034483;0.13793102;0.13793102;0.27586207,0.20430109;0.08602151;0.118279606;0.4086021;0.1827957,0.0086477987
0.031746034;0.047619045;0.031746034;0.11111108;0.7777778,0.38955823;0.1445783;0.1365462;0.14056231;0.188755,0.045454554;0.027272735;0.05454546;0.13636361;0.73636365,0.021739129;0.06521739;0.06521739;0.086956516;0.76086956,0.04672897;0.028037382;0.04672897;0.1308411;0.74766356,0.0078616352
